model,fold,accuracy,f1_macro,auc_roc,brier,feature_layer,task
LinearSVM,4,0.665,0.4558154645873944,,,ae,binary_cluster
LinearSVM,5,0.7,0.4745829502167345,,,ae,binary_cluster
RBF-SVM,1,0.71,0.45362912721963167,0.5676934523809524,0.20388499146057135,ae,binary_cluster
RBF-SVM,2,0.7175,0.4778128213126307,0.5799255952380953,0.20272560949578505,ae,binary_cluster
RBF-SVM,3,0.6975,0.41876523639682484,0.502529761904762,0.21146691783369195,ae,binary_cluster
RBF-SVM,4,0.7075,0.465991168315476,0.5792857142857143,0.20443481580911424,ae,binary_cluster
RBF-SVM,5,0.7025,0.4283724225720839,0.5540237447292085,0.2068879775765593,ae,binary_cluster
RandomForest,1,0.695,0.48891960956809516,0.6187946428571428,0.20366768749999997,ae,binary_cluster
RandomForest,2,0.7025,0.49881547775730456,0.6287351190476191,0.20185225000000004,ae,binary_cluster
RandomForest,3,0.6925,0.4583347095154738,0.537559523809524,0.21725362500000003,ae,binary_cluster
RandomForest,4,0.695,0.49948717948717947,0.6270982142857143,0.2005366875,ae,binary_cluster
RandomForest,5,0.685,0.4721628754555737,0.578202099345076,0.208957625,ae,binary_cluster
GradBoost,1,0.6875,0.5227869243617276,0.6019642857142857,0.21210499264647453,ae,binary_cluster
GradBoost,2,0.675,0.5340501792114696,0.6100297619047619,0.21111912309036476,ae,binary_cluster
GradBoost,3,0.675,0.5144724556489262,0.5421428571428571,0.22852273926558297,ae,binary_cluster
GradBoost,4,0.6975,0.5251130799948979,0.5966071428571429,0.2122809762461432,ae,binary_cluster
GradBoost,5,0.7,0.5439169928927065,0.5814169084003709,0.21396757765468855,ae,binary_cluster
k-NN (k=7),1,0.6725,0.53230571497425,0.5523065476190476,0.23127551020408163,ae,binary_cluster
k-NN (k=7),2,0.655,0.48896459783735746,0.5617261904761904,0.22438775510204081,ae,binary_cluster
k-NN (k=7),3,0.6525,0.48307440567502485,0.5100595238095238,0.24112244897959187,ae,binary_cluster
k-NN (k=7),4,0.67,0.5341614906832298,0.6016220238095239,0.21954081632653064,ae,binary_cluster
k-NN (k=7),5,0.675,0.5376791493296347,0.5769311283232155,0.2230102040816327,ae,binary_cluster
GaussProcC,1,0.71,0.45362912721963167,0.6110119047619047,0.2025180605893432,ae,binary_cluster
GaussProcC,2,0.7125,0.4751195244126473,0.6324404761904762,0.1999171030793193,ae,binary_cluster
GaussProcC,3,0.6975,0.4337260591311673,0.5797916666666667,0.20784501323709745,ae,binary_cluster
GaussProcC,4,0.7125,0.4876079086605402,0.6168452380952381,0.20419541168152322,ae,binary_cluster
GaussProcC,5,0.7025,0.4358518518518519,0.6253476479559796,0.2014930045432496,ae,binary_cluster
LogReg,1,0.985,0.9821428571428572,0.9983928571428571,0.014044914801235603,all,binary_cluster
LogReg,2,0.985,0.9820568796913783,0.9992559523809523,0.012131902956881546,all,binary_cluster
LogReg,3,0.98,0.9761904761904763,0.9981249999999999,0.017266578386852572,all,binary_cluster
LogReg,4,0.9725,0.9670241548066041,0.9971726190476191,0.021036056465369796,all,binary_cluster
LogReg,5,0.98,0.9763026155988033,0.9976374891593649,0.01894853880682901,all,binary_cluster
LinearSVM,1,0.975,0.9703782694985041,,,all,binary_cluster
LinearSVM,2,0.9875,0.9851542841024652,,,all,binary_cluster
LinearSVM,3,0.9725,0.9673394250254232,,,all,binary_cluster
LinearSVM,4,0.955,0.946170639074135,,,all,binary_cluster
LinearSVM,5,0.9725,0.9676411104982534,,,all,binary_cluster
RBF-SVM,1,0.9425,0.929269399020535,0.9913392857142856,0.03520040880748529,all,binary_cluster
RBF-SVM,2,0.95,0.938330609601924,0.9878869047619047,0.03737465007995252,all,binary_cluster
RBF-SVM,3,0.935,0.9193948412698413,0.990029761904762,0.0383983573975368,all,binary_cluster
RBF-SVM,4,0.945,0.9321636705621165,0.9941071428571429,0.03030663921979284,all,binary_cluster
RBF-SVM,5,0.95,0.9379960317460317,0.989144412213284,0.03971028192087603,all,binary_cluster
RandomForest,1,0.9975,0.9970308568204931,0.9999999999999999,0.0122629375,all,binary_cluster
RandomForest,2,0.9975,0.997016684193647,1.0,0.010992812499999999,all,binary_cluster
RandomForest,3,0.995,0.9940756538997009,1.0,0.0117536875,all,binary_cluster
RandomForest,4,0.9975,0.997016684193647,1.0,0.0107058125,all,binary_cluster
RandomForest,5,0.9975,0.997016684193647,1.0,0.011170312500000001,all,binary_cluster
GradBoost,1,1.0,1.0,1.0,2.2211231483689063e-16,all,binary_cluster
GradBoost,2,1.0,1.0,1.0,2.2211231483689063e-16,all,binary_cluster
GradBoost,3,1.0,1.0,1.0,2.221123148368907e-16,all,binary_cluster
GradBoost,4,1.0,1.0,1.0,2.2211231483689063e-16,all,binary_cluster
GradBoost,5,1.0,1.0,1.0,1.809817834463456e-16,all,binary_cluster
k-NN (k=7),1,0.8275,0.7707622156330203,0.8870238095238094,0.12438775510204081,all,binary_cluster
k-NN (k=7),2,0.845,0.7933333333333332,0.893735119047619,0.11744897959183673,all,binary_cluster
k-NN (k=7),3,0.825,0.7650927883486023,0.8907291666666667,0.1213265306122449,all,binary_cluster
k-NN (k=7),4,0.8525,0.8052660676122815,0.9183333333333333,0.10872448979591837,all,binary_cluster
k-NN (k=7),5,0.8475,0.7986649173618503,0.8851341248243069,0.11846938775510203,all,binary_cluster
GaussProcC,1,0.78,0.7256772343277533,0.7744047619047619,0.24999999799933206,all,binary_cluster
GaussProcC,2,0.8125,0.7628664701093186,0.8230654761904761,0.24999999799901104,all,binary_cluster
GaussProcC,3,0.7925,0.7375722269209792,0.7634821428571429,0.24999999799938763,all,binary_cluster
GaussProcC,4,0.805,0.7568502758814177,0.8063690476190476,0.24999999799933575,all,binary_cluster
GaussProcC,5,0.8225,0.7767979943256391,0.7867011573312599,0.24999999797412759,all,binary_cluster
LogReg,1,0.7525,0.7515366602767894,0.9268498940737715,,rf,dominant_unit_4class
LogReg,2,0.8125,0.8126107812540062,0.9485003410370918,,rf,dominant_unit_4class
LogReg,3,0.7375,0.7382065903737194,0.932142203282024,,rf,dominant_unit_4class
LogReg,4,0.775,0.7748430752636591,0.9419517071479323,,rf,dominant_unit_4class
LogReg,5,0.7725,0.7716174224960374,0.9370784864827196,,rf,dominant_unit_4class
LinearSVM,1,0.735,0.7329175082096083,,,rf,dominant_unit_4class
LinearSVM,2,0.78,0.7791367627845964,,,rf,dominant_unit_4class
LinearSVM,3,0.7075,0.7076328386922117,,,rf,dominant_unit_4class
LinearSVM,4,0.76,0.7599152635981989,,,rf,dominant_unit_4class
LinearSVM,5,0.7375,0.7363110927676507,,,rf,dominant_unit_4class
RBF-SVM,1,0.67,0.6687804861561756,0.909703185418065,,rf,dominant_unit_4class
RBF-SVM,2,0.7325,0.7313263041065483,0.9288796406741979,,rf,dominant_unit_4class
RBF-SVM,3,0.6875,0.6888392781352393,0.9103551004628042,,rf,dominant_unit_4class
RBF-SVM,4,0.71,0.7074321649357368,0.9288492836180444,,rf,dominant_unit_4class
RBF-SVM,5,0.72,0.7197918913565895,0.9178994571683833,,rf,dominant_unit_4class
RandomForest,1,0.6625,0.6581938226328824,0.8997397072523978,,rf,dominant_unit_4class
RandomForest,2,0.71,0.7065129991959261,0.912966222895457,,rf,dominant_unit_4class
RandomForest,3,0.6625,0.6605375428419664,0.8973446852775857,,rf,dominant_unit_4class
RandomForest,4,0.7075,0.703233476455132,0.9139561695992559,,rf,dominant_unit_4class
RandomForest,5,0.6825,0.6834810090766509,0.8985377831520713,,rf,dominant_unit_4class
GradBoost,1,0.6975,0.6953652697498416,0.9055957253034486,,rf,dominant_unit_4class
GradBoost,2,0.7375,0.733843184595666,0.9246936019841901,,rf,dominant_unit_4class
GradBoost,3,0.715,0.7148886414891232,0.9157775226105208,,rf,dominant_unit_4class
GradBoost,4,0.7225,0.7208717636573312,0.9164463513084541,,rf,dominant_unit_4class
GradBoost,5,0.6925,0.6905183926818109,0.9108903484298934,,rf,dominant_unit_4class
k-NN (k=7),1,0.62,0.6115326683339052,0.8536559618280893,,rf,dominant_unit_4class
k-NN (k=7),2,0.5975,0.5862120866301481,0.8440804637870511,,rf,dominant_unit_4class
k-NN (k=7),3,0.59,0.5821848001413935,0.836022323335524,,rf,dominant_unit_4class
k-NN (k=7),4,0.6425,0.6335585773935205,0.864107743945313,,rf,dominant_unit_4class
k-NN (k=7),5,0.585,0.5821769039291464,0.8414624428265018,,rf,dominant_unit_4class
GaussProcC,1,0.7475,0.7455821423692229,0.9318240580829023,,rf,dominant_unit_4class
GaussProcC,2,0.8075,0.8064425751680055,0.94999597286668,,rf,dominant_unit_4class
GaussProcC,3,0.74,0.7399229367942667,0.929341107425121,,rf,dominant_unit_4class
GaussProcC,4,0.7775,0.7772132663130955,0.9458701506028382,,rf,dominant_unit_4class
GaussProcC,5,0.7675,0.766166314831918,0.9387182947240559,,rf,dominant_unit_4class
LogReg,1,0.955,0.9551180805186693,0.9984637933797196,,tda,dominant_unit_4class
LogReg,2,0.955,0.9553890162397567,0.9985166590356225,,tda,dominant_unit_4class
LogReg,3,0.97,0.9699591100738082,0.998360885195414,,tda,dominant_unit_4class
LogReg,4,0.96,0.9601439184256803,0.9991413548142651,,tda,dominant_unit_4class
LogReg,5,0.96,0.9598789753217163,0.9982354137656151,,tda,dominant_unit_4class
LinearSVM,1,0.93,0.9301705148050808,,,tda,dominant_unit_4class
LinearSVM,2,0.915,0.9159158755798764,,,tda,dominant_unit_4class
LinearSVM,3,0.93,0.929946320960146,,,tda,dominant_unit_4class
LinearSVM,4,0.93,0.9301189189797618,,,tda,dominant_unit_4class
LinearSVM,5,0.91,0.9095586057712176,,,tda,dominant_unit_4class
RBF-SVM,1,0.9675,0.9675509272392775,0.9991235875203799,,tda,dominant_unit_4class
RBF-SVM,2,0.9575,0.9579083028509789,0.9986190233635671,,tda,dominant_unit_4class
RBF-SVM,3,0.9625,0.9627103080207575,0.9984367531141627,,tda,dominant_unit_4class
RBF-SVM,4,0.9675,0.9674377288634729,0.9989197667645798,,tda,dominant_unit_4class
RBF-SVM,5,0.9675,0.967679457192018,0.9988569393184257,,tda,dominant_unit_4class
RandomForest,1,0.965,0.9652054022677884,0.9986670670736126,,tda,dominant_unit_4class
RandomForest,2,0.965,0.9652075152376594,0.9980984714272862,,tda,dominant_unit_4class
RandomForest,3,0.945,0.9452543233864205,0.9975406133782736,,tda,dominant_unit_4class
RandomForest,4,0.9625,0.9623268174332318,0.9984965330935605,,tda,dominant_unit_4class
RandomForest,5,0.9475,0.9478556649381791,0.9977573691745716,,tda,dominant_unit_4class
GradBoost,1,0.9525,0.9527182178934948,0.9972326963474563,,tda,dominant_unit_4class
GradBoost,2,0.96,0.9602674941407184,0.9974129527886682,,tda,dominant_unit_4class
GradBoost,3,0.94,0.9400606356409174,0.996329555179133,,tda,dominant_unit_4class
GradBoost,4,0.9425,0.9423145366208958,0.9969470515425781,,tda,dominant_unit_4class
GradBoost,5,0.9425,0.9429311086219827,0.9965046506380926,,tda,dominant_unit_4class
k-NN (k=7),1,0.9525,0.9524684533862022,0.9966945407966362,,tda,dominant_unit_4class
k-NN (k=7),2,0.95,0.9503432562973452,0.9974616396979508,,tda,dominant_unit_4class
k-NN (k=7),3,0.945,0.9452075653852905,0.9964887799605595,,tda,dominant_unit_4class
k-NN (k=7),4,0.94,0.9397886939429237,0.9974591312082217,,tda,dominant_unit_4class
k-NN (k=7),5,0.9475,0.9474247543393599,0.995382461310567,,tda,dominant_unit_4class
GaussProcC,1,0.9625,0.962634759923059,0.9975816392136678,,tda,dominant_unit_4class
GaussProcC,2,0.9575,0.9579489297566772,0.9981057192233268,,tda,dominant_unit_4class
GaussProcC,3,0.955,0.9550784848713338,0.998058129871924,,tda,dominant_unit_4class
GaussProcC,4,0.965,0.9651710795182817,0.998609009653096,,tda,dominant_unit_4class
GaussProcC,5,0.955,0.9548387579678037,0.9981240408608716,,tda,dominant_unit_4class
LogReg,1,0.94,0.9397380393579413,0.9975422983730812,,ae,dominant_unit_4class
LogReg,2,0.98,0.9799453343503687,0.9990948751878359,,ae,dominant_unit_4class
LogReg,3,0.96,0.9597849607317881,0.9982926344976325,,ae,dominant_unit_4class
LogReg,4,0.9575,0.9575760004687836,0.9985128940538928,,ae,dominant_unit_4class
LogReg,5,0.9525,0.9526749977429354,0.9982900791062919,,ae,dominant_unit_4class
LinearSVM,1,0.9325,0.9321618982355139,,,ae,dominant_unit_4class
LinearSVM,2,0.935,0.9351403020446034,,,ae,dominant_unit_4class
LinearSVM,3,0.915,0.9157106100924608,,,ae,dominant_unit_4class
LinearSVM,4,0.9425,0.9423630719412277,,,ae,dominant_unit_4class
LinearSVM,5,0.92,0.920178082764675,,,ae,dominant_unit_4class
RBF-SVM,1,0.945,0.9449175214691224,0.9979364024757658,,ae,dominant_unit_4class
RBF-SVM,2,0.9625,0.9626076218467523,0.9988534424364219,,ae,dominant_unit_4class
RBF-SVM,3,0.96,0.9600489872630241,0.9987166333076563,,ae,dominant_unit_4class
RBF-SVM,4,0.9675,0.9673658560010036,0.9985760157600261,,ae,dominant_unit_4class
RBF-SVM,5,0.9625,0.9625724468393769,0.9989117098111738,,ae,dominant_unit_4class
RandomForest,1,0.9525,0.9526438936895176,0.9977382707210217,,ae,dominant_unit_4class
RandomForest,2,0.965,0.9651895787901918,0.9982192576775465,,ae,dominant_unit_4class
RandomForest,3,0.9525,0.9524504733452186,0.9981201414508174,,ae,dominant_unit_4class
RandomForest,4,0.9525,0.9522116789933107,0.9980623097205086,,ae,dominant_unit_4class
RandomForest,5,0.9425,0.9429506852278814,0.9976624957197705,,ae,dominant_unit_4class
GradBoost,1,0.9475,0.9471232493736128,0.9968692285622894,,ae,dominant_unit_4class
GradBoost,2,0.965,0.965277174516305,0.9973551519432697,,ae,dominant_unit_4class
GradBoost,3,0.94,0.9399145506857632,0.9969392123507794,,ae,dominant_unit_4class
GradBoost,4,0.9525,0.9525001245183036,0.9980358564506968,,ae,dominant_unit_4class
GradBoost,5,0.95,0.950422321336521,0.9967665479739544,,ae,dominant_unit_4class
k-NN (k=7),1,0.94,0.9397591263488403,0.9964392626967099,,ae,dominant_unit_4class
k-NN (k=7),2,0.9475,0.9476953135062423,0.9975104662059574,,ae,dominant_unit_4class
k-NN (k=7),3,0.9375,0.9375149300020686,0.9941789407918133,,ae,dominant_unit_4class
k-NN (k=7),4,0.965,0.9647410934854088,0.9975622454136026,,ae,dominant_unit_4class
k-NN (k=7),5,0.9475,0.9476925725089864,0.9971528319103788,,ae,dominant_unit_4class
GaussProcC,1,0.945,0.9448176334255867,0.9976282421402817,,ae,dominant_unit_4class
GaussProcC,2,0.975,0.9750173626863472,0.9989701058043456,,ae,dominant_unit_4class
GaussProcC,3,0.9625,0.9625338343784946,0.9982157858742541,,ae,dominant_unit_4class
GaussProcC,4,0.965,0.9649315394220589,0.998464910013554,,ae,dominant_unit_4class
GaussProcC,5,0.96,0.9603428937786296,0.99862128937045,,ae,dominant_unit_4class
LogReg,1,0.955,0.9548486060919987,0.9984967653393502,,all,dominant_unit_4class
LogReg,2,0.9825,0.9823593747826485,0.9995704098266951,,all,dominant_unit_4class
LogReg,3,0.9675,0.9676133256117576,0.9989714483671379,,all,dominant_unit_4class
LogReg,4,0.975,0.9751312026330166,0.9990045969274749,,all,dominant_unit_4class
LogReg,5,0.96,0.9599452479194217,0.9987071900096982,,all,dominant_unit_4class
LinearSVM,1,0.91,0.9096295612599961,,,all,dominant_unit_4class
LinearSVM,2,0.905,0.9052232165374426,,,all,dominant_unit_4class
LinearSVM,3,0.9,0.9002804874013306,,,all,dominant_unit_4class
LinearSVM,4,0.92,0.9202236247467664,,,all,dominant_unit_4class
LinearSVM,5,0.895,0.8944082978572816,,,all,dominant_unit_4class
RBF-SVM,1,0.965,0.9649432851902506,0.9990418712252136,,all,dominant_unit_4class
RBF-SVM,2,0.985,0.9852732878038136,0.9996237448999077,,all,dominant_unit_4class
RBF-SVM,3,0.97,0.9701470794052129,0.9990619360150599,,all,dominant_unit_4class
RBF-SVM,4,0.97,0.969929921902885,0.9987604556243497,,all,dominant_unit_4class
RBF-SVM,5,0.9725,0.9726412036433122,0.9990885362080814,,all,dominant_unit_4class
RandomForest,1,0.9725,0.97241344502232,0.9987507674185396,,all,dominant_unit_4class
RandomForest,2,0.975,0.9753868491925595,0.999280341196953,,all,dominant_unit_4class
RandomForest,3,0.9675,0.9675418680546422,0.998175592052172,,all,dominant_unit_4class
RandomForest,4,0.975,0.974726718990872,0.9986367388461261,,all,dominant_unit_4class
RandomForest,5,0.97,0.9703938277054068,0.9985479810533595,,all,dominant_unit_4class
GradBoost,1,0.9625,0.9620511128900824,0.9981744560500355,,all,dominant_unit_4class
GradBoost,2,0.9625,0.9630475960826206,0.9984497505419847,,all,dominant_unit_4class
GradBoost,3,0.9425,0.9426189568689625,0.9970789581057238,,all,dominant_unit_4class
GradBoost,4,0.9675,0.9674360825676616,0.9977679426225053,,all,dominant_unit_4class
GradBoost,5,0.9625,0.962797048468967,0.998302070175899,,all,dominant_unit_4class
k-NN (k=7),1,0.9475,0.9475817156130746,0.9971229647195473,,all,dominant_unit_4class
k-NN (k=7),2,0.94,0.9404300974888979,0.9958828470986077,,all,dominant_unit_4class
k-NN (k=7),3,0.94,0.9399904592869008,0.9951466446251134,,all,dominant_unit_4class
k-NN (k=7),4,0.94,0.9401391593484703,0.9965521149544723,,all,dominant_unit_4class
k-NN (k=7),5,0.9475,0.9471696636594634,0.9970754101183009,,all,dominant_unit_4class
GaussProcC,1,0.9175,0.9180113247232764,0.9630061138031607,,all,dominant_unit_4class
GaussProcC,2,0.915,0.9151094482546316,0.9575393279378955,,all,dominant_unit_4class
GaussProcC,3,0.905,0.9048644338717207,0.9592039793487815,,all,dominant_unit_4class
GaussProcC,4,0.9175,0.9182065522532996,0.9716852357300885,,all,dominant_unit_4class
GaussProcC,5,0.9225,0.922262739597943,0.9628360191014077,,all,dominant_unit_4class
