model,rmse,mae,r2,preds,true,feature_layer
RandomForest,0.17132768912078028,0.15999172401058231,0.9429142806405899,"[-2.3906979455382573, -2.7005048226229977, -1.3120208695463291, -1.6907172778939719]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",tda
GradBoost,0.5017313102492363,0.4074973807824393,0.5104300290052146,"[-2.923038456610509, -2.83983766575801, -1.4778040289332417, -2.468199287837343]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",tda
k-NN (k=7),0.3748056339189332,0.30263812572342913,0.726797553137188,"[-2.014836809522485, -2.980597294144121, -1.5668651549242736, -1.5753304175615956]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",tda
GaussProcR,0.4057478284079164,0.3836236330897717,0.6798269507505619,"[-2.28956663073125, -2.6017850874811033, -1.660410136222535, -2.037004597585622]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",tda
Ridge,0.504873036802255,0.4211475899632783,0.5042796830126255,"[-2.67580551059081, -3.162984913763304, -1.4753243104887113, -2.491804321516132]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",ae
LinearSVR,0.4817966080706688,0.4095103225741194,0.5485602048311318,"[-2.69219148050486, -3.104944218069406, -1.54548794897211, -2.416746339255946]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",ae
RBF-SVR,0.5594783785404543,0.4939214860885452,0.3912499933243254,"[-2.092393898666069, -2.4579629528468554, -1.9848454021585797, -1.8127658769452422]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",ae
RandomForest,0.2065150025670936,0.17028728851246208,0.9170577947721145,"[-2.7151770422872117, -3.2266995651914505, -0.9748047624919619, -1.5574911741735686]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",ae
GradBoost,0.2880586182922837,0.22837137763380477,0.8386257970264892,"[-2.635471059695407, -3.3167321009295754, -1.4153534919476825, -1.6672575544683983]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",ae
k-NN (k=7),0.28100517937413627,0.22262661638369563,0.8464318992005102,"[-2.3510008313774775, -2.6993453519301256, -1.5668651549242736, -1.6013838990038083]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",ae
GaussProcR,0.4189932136738951,0.3674254729602381,0.6585820568707186,"[-2.347755134180801, -2.691639461129634, -1.7548563068072847, -2.0258086635808192]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",ae
Ridge,0.1668425468629954,0.14964928566430624,0.9458640221980787,"[-2.355191465384303, -2.9060576076504736, -1.1893669207365662, -1.8520466749037228]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",all
LinearSVR,0.17812634415450332,0.1654532228306504,0.9382938183870996,"[-2.360487649617612, -2.957816729827699, -1.1803924486891042, -1.877773957672645]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",all
RBF-SVR,0.5594578797292322,0.5247880929324638,0.391294600670537,"[-2.150096952420067, -2.461639357336588, -1.9331921323002688, -2.0492650324229573]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",all
RandomForest,0.19264407419044988,0.1397486774395708,0.927825518460614,"[-2.563621046063385, -2.8756107045441635, -1.3368207289249932, -1.9038669176017462]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",all
GradBoost,0.16140163471950447,0.12490563978483754,0.9493373127398888,"[-2.5919979832185125, -2.878532124566825, -1.3053130243488464, -1.8451081235110103]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",all
k-NN (k=7),0.21437771298975994,0.17733313892994684,0.910621794488824,"[-2.3510008313774775, -2.951634248355055, -1.430772275394403, -1.5753304175615956]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",all
GaussProcR,0.14759259148194592,0.09752747787398941,0.9576355589771612,"[-2.620721923932917, -2.86784820114741, -1.1125445173501292, -1.336615910587291]","[-2.563823050628305, -2.861057056006259, -1.072978651791962, -1.6234699380793185]",all
