model,fold,rmse,mae,r2,feature_layer,task
GaussProcR,5,0.8065089768928418,0.6436831527020016,0.00920046477967884,tda,regression_s21_max
Ridge,1,0.7978771196710078,0.654405232620729,0.00028611274443290924,ae,regression_s21_max
Ridge,2,0.8475977252727749,0.6718838005580444,0.05432241558955864,ae,regression_s21_max
Ridge,3,0.8312336089531214,0.6594890619443865,0.020140574337702,ae,regression_s21_max
Ridge,4,0.8291187906167908,0.6543625927517337,0.039929581689270965,ae,regression_s21_max
Ridge,5,0.8190060600708274,0.6586550617404316,-0.02174286419372229,ae,regression_s21_max
LinearSVR,1,0.8131394308273602,0.6646697990167973,-0.03832603933868439,ae,regression_s21_max
LinearSVR,2,0.8480851896676922,0.66864518380856,0.053234360025719685,ae,regression_s21_max
LinearSVR,3,0.8328452107785856,0.6637966058056012,0.016337373770918373,ae,regression_s21_max
LinearSVR,4,0.8497122147952129,0.6720875806623964,-0.00835462709810919,ae,regression_s21_max
LinearSVR,5,0.8253036739574077,0.663629846955645,-0.03751632680218231,ae,regression_s21_max
RBF-SVR,1,0.801198397377652,0.6496216829796012,-0.008054114174834037,ae,regression_s21_max
RBF-SVR,2,0.8465995643872272,0.671406976565743,0.05654843045358593,ae,regression_s21_max
RBF-SVR,3,0.8301528111795096,0.6604636723173353,0.022687009855343998,ae,regression_s21_max
RBF-SVR,4,0.8361568377350613,0.6571335412955571,0.023561119900947225,ae,regression_s21_max
RBF-SVR,5,0.8204428650061214,0.6565130712663422,-0.025330952188687306,ae,regression_s21_max
RandomForest,1,0.7865376741848967,0.6392636592168732,0.028500096303711087,ae,regression_s21_max
RandomForest,2,0.8377679256120404,0.6693229686830692,0.07612973752639784,ae,regression_s21_max
RandomForest,3,0.8141328502340319,0.6445006193377335,0.060042660756296384,ae,regression_s21_max
RandomForest,4,0.8370298165053449,0.6617337739031766,0.021521178711997324,ae,regression_s21_max
RandomForest,5,0.8300537120145388,0.6663143454797441,-0.04949355276138334,ae,regression_s21_max
GradBoost,1,0.8197929598806849,0.6637942811000412,-0.05538780465610005,ae,regression_s21_max
GradBoost,2,0.8625398844062433,0.690958167207649,0.020686136640656327,ae,regression_s21_max
GradBoost,3,0.8469391234589123,0.6793583318276916,-0.01723659550457013,ae,regression_s21_max
GradBoost,4,0.852191797148049,0.6782729508055678,-0.01424826122525591,ae,regression_s21_max
GradBoost,5,0.8485705752532964,0.6779052918571353,-0.09684009899588886,ae,regression_s21_max
k-NN (k=7),1,0.8236076671189397,0.6736112542886655,-0.06523263790233136,ae,regression_s21_max
k-NN (k=7),2,0.8756194524525447,0.7019495055536841,-0.009239714909340613,ae,regression_s21_max
k-NN (k=7),3,0.8623884013471008,0.6838484661738274,-0.05468652948738528,ae,regression_s21_max
k-NN (k=7),4,0.8601790731312432,0.6834148879851114,-0.033349700619485834,ae,regression_s21_max
k-NN (k=7),5,0.8721126736118143,0.6921291283637039,-0.1585441224525419,ae,regression_s21_max
GaussProcR,1,0.7724194131915275,0.631657590347123,0.06306370418416163,ae,regression_s21_max
GaussProcR,2,0.8290940439328146,0.6622599694372983,0.09516139713917993,ae,regression_s21_max
GaussProcR,3,0.8067042820093786,0.640294434665134,0.07711771450091343,ae,regression_s21_max
GaussProcR,4,0.8200605062558082,0.6468402782851672,0.06079290062159037,ae,regression_s21_max
GaussProcR,5,0.8063266352616517,0.6442669580443038,0.009648428995006841,ae,regression_s21_max
Ridge,1,0.039851530536214104,0.031802799594026626,0.9975060157084862,all,regression_s21_max
Ridge,2,0.043217202819852335,0.03387503962386574,0.9975414624910817,all,regression_s21_max
Ridge,3,0.04211614015008705,0.032740180719232986,0.9974845556719555,all,regression_s21_max
Ridge,4,0.03796081566739444,0.02992860629608359,0.9979874779659954,all,regression_s21_max
Ridge,5,0.04363979411966164,0.03448733521739808,0.9970990999274975,all,regression_s21_max
LinearSVR,1,0.04575894095032124,0.03728828049917671,0.9967118196346392,all,regression_s21_max
LinearSVR,2,0.046100300916758506,0.03548448794476545,0.9972024938469296,all,regression_s21_max
LinearSVR,3,0.047843154958016484,0.03649065317763636,0.9967539350345245,all,regression_s21_max
LinearSVR,4,0.04092131039915935,0.0325087488914869,0.9976613316534167,all,regression_s21_max
LinearSVR,5,0.04672734543599781,0.035794248105502253,0.9966740968226362,all,regression_s21_max
RBF-SVR,1,0.1357051027010031,0.09194202156619538,0.9710801484906362,all,regression_s21_max
RBF-SVR,2,0.17837153770430192,0.11505511121388017,0.9581192314710124,all,regression_s21_max
RBF-SVR,3,0.14170591250910897,0.09749524927363144,0.9715230464019611,all,regression_s21_max
RBF-SVR,4,0.12829666422839472,0.09393297790983812,0.9770120469169176,all,regression_s21_max
RBF-SVR,5,0.13104077414339352,0.09568732256083418,0.973843460709889,all,regression_s21_max
RandomForest,1,0.04232749754119844,0.03189202120976173,0.9971864872412192,all,regression_s21_max
RandomForest,2,0.07211156355490991,0.040544026343904395,0.9931550015452916,all,regression_s21_max
RandomForest,3,0.04748371702875356,0.03678059636972455,0.9968025261458167,all,regression_s21_max
RandomForest,4,0.0475105235879693,0.03539712702328459,0.9968475427498451,all,regression_s21_max
RandomForest,5,0.04444358940873227,0.03469875270256466,0.9969912532355907,all,regression_s21_max
GradBoost,1,0.03219038834861535,0.025126493551902405,0.9983727430509862,all,regression_s21_max
GradBoost,2,0.05542025841276312,0.028074398438221095,0.9959570290303574,all,regression_s21_max
GradBoost,3,0.0373324426493024,0.02829415347877986,0.9980235292175097,all,regression_s21_max
GradBoost,4,0.03527362378267363,0.027071375033338622,0.9982623202910066,all,regression_s21_max
GradBoost,5,0.03277588208849766,0.025259341607037387,0.9983636501539631,all,regression_s21_max
k-NN (k=7),1,0.5299697551460388,0.4215085728995183,0.5589316715791968,all,regression_s21_max
k-NN (k=7),2,0.5684758434868439,0.44062189850854294,0.5746097227271854,all,regression_s21_max
k-NN (k=7),3,0.5556973006605554,0.43514520653784217,0.5620806253985347,all,regression_s21_max
k-NN (k=7),4,0.5418626202303742,0.4282185053432941,0.5899394798586918,all,regression_s21_max
k-NN (k=7),5,0.5349096814820176,0.4240856722949948,0.5641587819986966,all,regression_s21_max
GaussProcR,1,0.79827868970478,0.6519704581593058,-0.0007204486805558741,all,regression_s21_max
GaussProcR,2,0.8716238624554292,0.6883090224194163,-5.0088954155924625e-05,all,regression_s21_max
GaussProcR,3,0.8398245291372071,0.6671203402019056,-0.00021806878272623287,all,regression_s21_max
GaussProcR,4,0.8461849159969078,0.6706572906382624,-3.028212671729591e-07,all,regression_s21_max
GaussProcR,5,0.8104055628811044,0.6416650886126515,-0.00039660635101723685,all,regression_s21_max
